ID,Title,Solved By,Correct Ratio
DNA,Counting DNA Nucleotides,73630,
RNA,Transcribing DNA into RNA,65585,
REVC,Complementing a Strand of DNA,59459,
FIB,Rabbits and Recurrence Relations,34632,
GC,Computing GC Content,34034,
HAMM,Counting Point Mutations,37933,
IPRB,Mendel's First Law,22763,
PROT,Translating RNA into Protein,30008,
SUBS,Finding a Motif in DNA,29995,
CONS,Consensus and Profile,16188,
FIBD,Mortal Fibonacci Rabbits,14078,
GRPH,Overlap Graphs,13015,
IEV,Calculating Expected Offspring,12686,
LCSM,Finding a Shared Motif,11597,
LIA,Independent Alleles,7057,
MPRT,Finding a Protein Motif,6733,
MRNA,Inferring mRNA from Protein,10837,
ORF,Open Reading Frames,8267,
PERM,Enumerating Gene Orders,14028,
PRTM,Calculating Protein Mass,13948,
REVP,Locating Restriction Sites,8802,
SPLC,RNA Splicing,9955,
LEXF,Enumerating k-mers Lexicographically,7824,
LGIS,Longest Increasing Subsequence,3642,
LONG,Genome Assembly as Shortest Superstring,4027,
PMCH,Perfect Matchings and RNA Secondary Structures,4028,
PPER,Partial Permutations,5319,
PROB,Introduction to Random Strings,5287,
SIGN,Enumerating Oriented Gene Orderings,4977,
SSEQ,Finding a Spliced Motif,5733,
TRAN,Transitions and Transversions,5674,
TREE,Completing a Tree,4569,
CAT,Catalan Numbers and RNA Secondary Structures,1653,
CORR,Error Correction in Reads,2449,
INOD,Counting Phylogenetic Ancestors,3306,
KMER,k-Mer Composition,3602,
KMP,Speeding Up Motif Finding,2871,
LCSQ,Finding a Shared Spliced Motif,2672,
LEXV,Ordering Strings of Varying Length Lexicographically,3870,
MMCH,Maximum Matchings and RNA Secondary Structures,1893,
PDST,Creating a Distance Matrix,2674,
REAR,Reversal Distance,1253,
RSTR,Matching Random Motifs,2117,
SSET,Counting Subsets,3023,
ASPC,Introduction to Alternative Splicing,1925,
EDIT,Edit Distance,1935,
EVAL,Expected Number of Restriction Sites,1564,
MOTZ,Motzkin Numbers and RNA Secondary Structures,1020,
NWCK,Distances in Trees,1215,
SCSP,Interleaving Two Motifs,1192,
SETO,Introduction to Set Operations,2294,
SORT,Sorting by Reversals,938,
SPEC,Inferring Protein from Spectrum,1841,
TRIE,Introduction to Pattern Matching,1433,
CONV,Comparing Spectra with the Spectral Convolution,1169,
CTBL,Creating a Character Table,696,
DBRU,Constructing a De Bruijn Graph,1195,
EDTA,Edit Distance Alignment,1330,
FULL,Inferring Peptide from Full Spectrum,850,
INDC,Independent Segregation of Chromosomes,985,
ITWV,Finding Disjoint Motifs in a Gene,496,
LREP,Finding the Longest Multiple Repeat,645,
NKEW,Newick Format with Edge Weights,762,
RNAS,Wobble Bonding and RNA Secondary Structures,690,
AFRQ,Counting Disease Carriers,826,
CSTR,Creating a Character Table from Genetic Strings,453,
CTEA,Counting Optimal Alignments,516,
CUNR,Counting Unrooted Binary Trees,454,
GLOB,Global Alignment with Scoring Matrix,946,
PCOV,Genome Assembly with Perfect Coverage,859,
PRSM,Matching a Spectrum to a Protein,626,
QRT,Quartets,351,
SGRA,Using the Spectrum Graph to Infer Peptides,563,
SUFF,Encoding Suffix Trees,441,
CHBP,Character-Based Phylogeny,236,
CNTQ,Counting Quartets,259,
EUBT,Enumerating Unrooted Binary Trees,240,
GASM,Genome Assembly Using Reads,481,
GCON,Global Alignment with Constant Gap Penalty,522,
LING,Linguistic Complexity of a Genome,275,
LOCA,Local Alignment with Scoring Matrix,587,
MEND,Inferring Genotype from a Pedigree,379,
MGAP,Maximizing the Gap Symbols of an Optimal Alignment,286,
MREP,Identifying Maximal Repeats,242,
MULT,Multiple Alignment,303,
PDPL,Creating a Restriction Map,324,
ROOT,Counting Rooted Binary Trees,340,
SEXL,Sex-Linked Inheritance,620,
SPTD,Phylogeny Comparison with Split Distance,241,
WFMD,The Wright-Fisher Model of Genetic Drift,489,
ALPH,Alignment-Based Phylogeny,162,
ASMQ,Assessing Assembly Quality with N50 and N75,385,
CSET,Fixing an Inconsistent Character Set,183,
EBIN,Wright-Fisher's Expected Behavior,409,
FOUN,The Founder Effect and Genetic Drift,388,
GAFF,Global Alignment with Scoring Matrix and Affine Gap Penalty,422,
GREP,Genome Assembly with Perfect Coverage and Repeats,292,
OAP,Overlap Alignment,255,
QRTD,Quartet Distance,114,
SIMS,Finding a Motif with Modifications,309,
SMGB,Semiglobal Alignment,286,
KSIM,Finding All Similar Motifs,112,
LAFF,Local Alignment with Affine Gap Penalty,251,
OSYM,Isolating Symbols in Alignments,183,
RSUB,Identifying Reversing Substitutions,136,
